epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,618.609,0.84747,1.20008,1.1919,0.77012,0.82175,0.86014,0.65373,0.85649,0.97146,1.09195,0.000269878,0.000269878,0.000269878
43,633.296,0.85174,1.18888,1.18662,0.83176,0.77327,0.86744,0.65985,0.84223,0.9577,1.11789,0.000267436,0.000267436,0.000267436
44,648.783,0.85846,1.14738,1.19346,0.78133,0.80113,0.85778,0.64802,0.85896,0.96181,1.11227,0.000264994,0.000264994,0.000264994
45,663.841,0.86924,1.17157,1.19599,0.82181,0.7989,0.85474,0.66418,0.82473,0.91698,1.0799,0.000262552,0.000262552,0.000262552
46,678.578,0.8511,1.14666,1.18562,0.80671,0.80418,0.86493,0.65865,0.83623,0.9457,1.09239,0.00026011,0.00026011,0.00026011
47,693.023,0.8478,1.13896,1.18611,0.82972,0.78637,0.87683,0.67302,0.83384,0.89203,1.08721,0.000257668,0.000257668,0.000257668
48,707.322,0.8293,1.12103,1.18229,0.79139,0.83959,0.86472,0.66016,0.82891,0.91675,1.09832,0.000255226,0.000255226,0.000255226
49,721.453,0.83395,1.15788,1.188,0.79656,0.82305,0.87938,0.67325,0.8375,0.90677,1.11272,0.000252784,0.000252784,0.000252784
50,735.605,0.83357,1.12442,1.17566,0.8419,0.84676,0.90402,0.70834,0.81752,0.83949,1.07277,0.000250342,0.000250342,0.000250342
51,750.136,0.81231,1.0989,1.16449,0.81024,0.85029,0.89536,0.69889,0.80619,0.85576,1.07304,0.0002479,0.0002479,0.0002479
52,765.586,0.84027,1.10388,1.18525,0.88317,0.81233,0.89416,0.69147,0.84515,0.89137,1.07571,0.000245458,0.000245458,0.000245458
53,780.941,0.80266,1.07181,1.17015,0.79676,0.86432,0.88743,0.68587,0.83956,0.87075,1.12197,0.000243016,0.000243016,0.000243016
54,796.732,0.82256,1.06805,1.1692,0.83908,0.78711,0.87059,0.67373,0.83516,0.88373,1.12094,0.000240574,0.000240574,0.000240574
55,811.794,0.80898,1.0931,1.16207,0.89014,0.80006,0.89788,0.69567,0.87514,0.83476,1.10373,0.000238132,0.000238132,0.000238132
56,827.491,0.81279,1.05257,1.16876,0.8663,0.83944,0.91193,0.70543,0.8236,0.83568,1.10205,0.00023569,0.00023569,0.00023569
57,842.566,0.80919,1.05993,1.16357,0.86258,0.79555,0.88519,0.70057,0.79894,0.8297,1.08763,0.000233248,0.000233248,0.000233248
58,858.197,0.80522,1.03098,1.16075,0.85828,0.85984,0.90889,0.71064,0.7924,0.82181,1.06847,0.000230806,0.000230806,0.000230806
59,873.373,0.79952,1.02051,1.16424,0.83372,0.85481,0.90038,0.70663,0.7857,0.81293,1.04177,0.000228364,0.000228364,0.000228364
60,888.3,0.78302,1.01685,1.15441,0.89162,0.84356,0.91789,0.71368,0.82117,0.78832,1.09479,0.000225922,0.000225922,0.000225922
61,903.653,0.78587,0.98736,1.15171,0.86514,0.84287,0.90811,0.69829,0.82081,0.80426,1.11597,0.00022348,0.00022348,0.00022348
62,919.165,0.77828,1.0116,1.14939,0.82203,0.8646,0.89566,0.70065,0.81193,0.83131,1.06394,0.000221038,0.000221038,0.000221038
63,935.038,0.79859,1.01339,1.1544,0.87593,0.8408,0.91455,0.71593,0.79457,0.7878,1.06057,0.000218596,0.000218596,0.000218596
64,950.615,0.79571,1.0106,1.15708,0.85184,0.84006,0.90652,0.69985,0.79441,0.81449,1.05851,0.000216154,0.000216154,0.000216154
65,966.548,0.78387,1.00051,1.1462,0.88792,0.88759,0.9396,0.73581,0.76118,0.74343,1.01512,0.000213712,0.000213712,0.000213712
66,979.509,0.78068,0.96273,1.1414,0.89723,0.84064,0.93354,0.7243,0.80546,0.79574,1.04514,0.00021127,0.00021127,0.00021127
67,991.793,0.77604,0.98777,1.13906,0.86273,0.88471,0.93609,0.74359,0.7707,0.72097,1.05345,0.000208828,0.000208828,0.000208828
68,1004.7,0.77082,0.97807,1.14743,0.86863,0.86328,0.92667,0.72907,0.79535,0.7435,1.06691,0.000206386,0.000206386,0.000206386
69,1020.3,0.78048,0.9597,1.15265,0.88987,0.87913,0.93264,0.73104,0.77026,0.72114,1.03366,0.000203944,0.000203944,0.000203944
70,1033.75,0.75978,0.9637,1.13737,0.85415,0.90504,0.92618,0.71683,0.79835,0.74656,1.06921,0.000201502,0.000201502,0.000201502
71,1046.38,0.77529,0.94858,1.15287,0.89528,0.87892,0.94231,0.74427,0.76652,0.6828,1.02836,0.00019906,0.00019906,0.00019906
72,1059.73,0.76675,0.93886,1.13538,0.91501,0.87699,0.94225,0.74269,0.76349,0.67501,1.04249,0.000196618,0.000196618,0.000196618
73,1075.13,0.78353,0.9499,1.14822,0.90165,0.88088,0.93602,0.72754,0.80852,0.69142,1.05554,0.000194176,0.000194176,0.000194176
74,1090.1,0.75672,0.93498,1.13304,0.89692,0.85654,0.92939,0.72293,0.78502,0.72921,1.06294,0.000191734,0.000191734,0.000191734
75,1104.84,0.75231,0.89679,1.13003,0.90583,0.87009,0.93918,0.72797,0.80249,0.69984,1.0686,0.000189292,0.000189292,0.000189292
76,1119.17,0.75157,0.91329,1.13588,0.87231,0.89141,0.93783,0.74537,0.77224,0.70395,1.03,0.00018685,0.00018685,0.00018685
77,1133.94,0.74101,0.90585,1.12115,0.90946,0.88332,0.94128,0.74466,0.76568,0.69057,1.0355,0.000184408,0.000184408,0.000184408
78,1147.98,0.7517,0.9102,1.1285,0.89298,0.88342,0.93461,0.73527,0.78309,0.69063,1.05044,0.000181966,0.000181966,0.000181966
79,1162.33,0.74323,0.90433,1.12896,0.92893,0.8636,0.94622,0.74877,0.78864,0.6665,1.05064,0.000179524,0.000179524,0.000179524
80,1178.17,0.74709,0.87906,1.13189,0.91559,0.85479,0.94554,0.74771,0.77346,0.68152,1.01935,0.000177082,0.000177082,0.000177082
81,1193.59,0.74305,0.89259,1.12307,0.89155,0.88692,0.94335,0.74917,0.77014,0.67558,1.04992,0.00017464,0.00017464,0.00017464
82,1208.8,0.74695,0.87136,1.13096,0.89871,0.88057,0.94012,0.74087,0.77441,0.65632,1.03489,0.000172198,0.000172198,0.000172198
83,1223.63,0.72844,0.86772,1.11517,0.89639,0.87978,0.93494,0.7492,0.75032,0.65939,1.01129,0.000169756,0.000169756,0.000169756
84,1237.87,0.72302,0.87936,1.12797,0.90507,0.90436,0.94766,0.74966,0.77394,0.65271,1.06013,0.000167314,0.000167314,0.000167314
85,1252.84,0.73605,0.87308,1.13114,0.90623,0.89764,0.94855,0.74883,0.76339,0.65186,1.04008,0.000164872,0.000164872,0.000164872
86,1268.33,0.74075,0.85017,1.13105,0.88959,0.89805,0.94157,0.75407,0.74875,0.66693,1.00907,0.00016243,0.00016243,0.00016243
87,1284.03,0.72448,0.84382,1.11752,0.92258,0.90379,0.95469,0.76372,0.74987,0.62135,1.02437,0.000159988,0.000159988,0.000159988
88,1298.81,0.72776,0.85115,1.11652,0.9056,0.89426,0.94829,0.75967,0.73922,0.61885,1.0132,0.000157546,0.000157546,0.000157546
89,1313.9,0.73158,0.8588,1.12306,0.91959,0.9055,0.95274,0.75632,0.77322,0.61909,1.03388,0.000155104,0.000155104,0.000155104
90,1328.78,0.71011,0.81699,1.10491,0.89608,0.90611,0.94973,0.75716,0.75428,0.63472,1.00555,0.000152662,0.000152662,0.000152662
91,1343.27,0.71769,0.84161,1.11125,0.88121,0.92988,0.95631,0.75897,0.75444,0.63075,1.03133,0.00015022,0.00015022,0.00015022
92,1358.35,0.7276,0.8359,1.11924,0.91138,0.89795,0.95622,0.76058,0.76504,0.61366,1.01703,0.000147778,0.000147778,0.000147778
93,1374.13,0.70788,0.82411,1.11056,0.88812,0.91004,0.95217,0.76519,0.74553,0.63182,1.00904,0.000145336,0.000145336,0.000145336
94,1389.74,0.70826,0.81798,1.11355,0.91838,0.90416,0.95674,0.77045,0.74669,0.5988,1.03105,0.000142894,0.000142894,0.000142894
95,1405.01,0.71908,0.82812,1.11495,0.91716,0.86725,0.94359,0.74335,0.78185,0.65701,1.04119,0.000140452,0.000140452,0.000140452
96,1420.51,0.7023,0.82849,1.11383,0.91621,0.88633,0.95358,0.7573,0.76361,0.61117,1.02456,0.00013801,0.00013801,0.00013801
97,1435.6,0.70564,0.81681,1.11629,0.94349,0.89578,0.95905,0.76002,0.75842,0.58486,1.02761,0.000135568,0.000135568,0.000135568
98,1450.46,0.69348,0.79791,1.09791,0.94743,0.88068,0.95681,0.76088,0.77589,0.60904,1.06429,0.000133126,0.000133126,0.000133126
99,1465.94,0.71663,0.8044,1.11099,0.91033,0.88823,0.95167,0.76481,0.746,0.61037,1.02502,0.000130684,0.000130684,0.000130684
100,1480.23,0.70823,0.80215,1.10791,0.92258,0.8722,0.94657,0.75654,0.75359,0.62539,1.00333,0.000128242,0.000128242,0.000128242
101,1495.55,0.70908,0.80499,1.10926,0.92214,0.84703,0.93741,0.75146,0.75497,0.65432,1.00986,0.0001258,0.0001258,0.0001258
102,1510.63,0.70688,0.81826,1.11179,0.91467,0.88407,0.94582,0.76043,0.73823,0.61652,1.00427,0.000123358,0.000123358,0.000123358
103,1525.52,0.69581,0.79241,1.10471,0.91218,0.89015,0.94655,0.75418,0.74696,0.62282,0.99727,0.000120916,0.000120916,0.000120916
104,1540.02,0.7046,0.79928,1.10781,0.89264,0.93086,0.96026,0.77483,0.73227,0.58732,0.98888,0.000118474,0.000118474,0.000118474
105,1554.87,0.68664,0.78653,1.10046,0.9304,0.90539,0.95558,0.7652,0.73887,0.59134,1.01143,0.000116032,0.000116032,0.000116032
106,1572.57,0.68622,0.76919,1.09262,0.93519,0.88084,0.9526,0.7543,0.75293,0.59306,0.99616,0.00011359,0.00011359,0.00011359
107,1587.07,0.68212,0.76491,1.09328,0.9345,0.9022,0.95879,0.76752,0.74231,0.57904,1.01116,0.000111148,0.000111148,0.000111148
108,1602.34,0.67943,0.77001,1.09054,0.88942,0.92563,0.96215,0.77304,0.73554,0.5666,0.99924,0.000108706,0.000108706,0.000108706
109,1618.52,0.67571,0.75554,1.09504,0.93584,0.90287,0.96514,0.78128,0.72362,0.57717,0.98821,0.000106264,0.000106264,0.000106264
110,1634.03,0.68476,0.75258,1.09267,0.93222,0.8956,0.95726,0.77295,0.72768,0.57196,0.98058,0.000103822,0.000103822,0.000103822
111,1649.22,0.67814,0.7738,1.09182,0.94262,0.8929,0.9572,0.772,0.72632,0.57574,0.98706,0.00010138,0.00010138,0.00010138
112,1663.49,0.67699,0.75333,1.09906,0.96124,0.8958,0.95884,0.78124,0.71524,0.55825,0.99089,9.8938e-05,9.8938e-05,9.8938e-05
113,1677.6,0.67162,0.74871,1.09514,0.92639,0.92554,0.96267,0.7904,0.71032,0.54302,0.98774,9.6496e-05,9.6496e-05,9.6496e-05
114,1693.11,0.67104,0.75501,1.09858,0.92194,0.90183,0.95958,0.7816,0.71593,0.58007,0.974,9.4054e-05,9.4054e-05,9.4054e-05
115,1708.37,0.67438,0.74888,1.09376,0.8932,0.92576,0.95868,0.78029,0.70884,0.55879,0.97007,9.1612e-05,9.1612e-05,9.1612e-05
116,1727.22,0.66106,0.73037,1.08581,0.89681,0.91494,0.96119,0.78082,0.70917,0.56057,0.98402,8.917e-05,8.917e-05,8.917e-05
117,1748.06,0.65513,0.71696,1.08452,0.94027,0.90575,0.96733,0.78072,0.72372,0.53691,1.01055,8.6728e-05,8.6728e-05,8.6728e-05
118,1769.02,0.6595,0.73938,1.09051,0.96316,0.90469,0.9654,0.78019,0.71624,0.53028,0.98469,8.4286e-05,8.4286e-05,8.4286e-05
119,1789.43,0.65455,0.70804,1.08296,0.95727,0.88712,0.964,0.78631,0.71028,0.52963,0.98093,8.1844e-05,8.1844e-05,8.1844e-05
120,1809.22,0.65922,0.7224,1.0816,0.91676,0.93512,0.96443,0.77929,0.72429,0.53281,0.99496,7.9402e-05,7.9402e-05,7.9402e-05
121,1830.11,0.65501,0.69875,1.08232,0.9302,0.9118,0.96365,0.78245,0.70465,0.53838,0.97407,7.696e-05,7.696e-05,7.696e-05
122,1850.33,0.64896,0.71961,1.07619,0.93983,0.92295,0.96904,0.79049,0.70782,0.52548,0.98007,7.4518e-05,7.4518e-05,7.4518e-05
123,1868.37,0.65428,0.7012,1.0793,0.91462,0.94139,0.96358,0.78123,0.71429,0.53635,0.9882,7.2076e-05,7.2076e-05,7.2076e-05
124,1882.93,0.66707,0.73417,1.0871,0.92546,0.91518,0.96262,0.78161,0.71807,0.55346,0.9828,6.9634e-05,6.9634e-05,6.9634e-05
125,1897.12,0.65101,0.71168,1.08918,0.90613,0.95295,0.96916,0.78128,0.72927,0.54643,0.99418,6.7192e-05,6.7192e-05,6.7192e-05
126,1910.98,0.65365,0.71113,1.07972,0.91635,0.94053,0.96409,0.78564,0.71521,0.5386,0.97492,6.475e-05,6.475e-05,6.475e-05
127,1925.51,0.64035,0.69101,1.07402,0.93937,0.92136,0.96622,0.78651,0.72194,0.53625,0.98087,6.2308e-05,6.2308e-05,6.2308e-05
128,1940.46,0.6407,0.69339,1.07185,0.94581,0.91451,0.9672,0.78813,0.72416,0.53313,0.99158,5.9866e-05,5.9866e-05,5.9866e-05
129,1955.3,0.65417,0.719,1.0829,0.92259,0.92782,0.96757,0.78194,0.72535,0.52218,0.99288,5.7424e-05,5.7424e-05,5.7424e-05
130,1970.2,0.63818,0.6899,1.07708,0.93084,0.9273,0.96837,0.78843,0.72083,0.52117,0.99029,5.4982e-05,5.4982e-05,5.4982e-05
131,1984.39,0.62263,0.67345,1.06911,0.94773,0.8909,0.9689,0.78406,0.7152,0.53833,0.97951,5.254e-05,5.254e-05,5.254e-05
132,1999.93,0.63516,0.69338,1.06926,0.92079,0.93756,0.96964,0.78844,0.71349,0.52105,0.97996,5.0098e-05,5.0098e-05,5.0098e-05
133,2015.05,0.62877,0.69131,1.0735,0.93786,0.92174,0.96915,0.78154,0.71905,0.52828,0.9882,4.7656e-05,4.7656e-05,4.7656e-05
134,2029.56,0.62556,0.6823,1.06477,0.93965,0.92633,0.96811,0.78073,0.71512,0.51971,0.98416,4.5214e-05,4.5214e-05,4.5214e-05
135,2044.49,0.63036,0.66866,1.0654,0.9285,0.94763,0.96824,0.78412,0.71036,0.51452,0.99089,4.2772e-05,4.2772e-05,4.2772e-05
136,2058.88,0.63833,0.68783,1.07638,0.92428,0.9327,0.96743,0.78773,0.7184,0.51922,0.98946,4.033e-05,4.033e-05,4.033e-05
137,2073.99,0.63169,0.67865,1.06807,0.92962,0.92911,0.96615,0.78664,0.70552,0.50773,0.97279,3.7888e-05,3.7888e-05,3.7888e-05
138,2088.55,0.62356,0.67521,1.0659,0.94046,0.93639,0.96888,0.78848,0.70757,0.50719,0.97738,3.5446e-05,3.5446e-05,3.5446e-05
139,2103.02,0.61809,0.65516,1.05848,0.94555,0.92908,0.9684,0.79004,0.70564,0.50894,0.97742,3.3004e-05,3.3004e-05,3.3004e-05
140,2117.41,0.63643,0.68705,1.07673,0.95842,0.91005,0.97083,0.79099,0.70768,0.50083,0.97624,3.0562e-05,3.0562e-05,3.0562e-05
141,2134.61,0.4721,0.45394,0.9966,0.94182,0.925,0.96133,0.77267,0.71787,0.54924,1.02616,2.812e-05,2.812e-05,2.812e-05
142,2149.95,0.46635,0.41261,0.98799,0.9469,0.917,0.96263,0.77795,0.71323,0.5454,1.01344,2.5678e-05,2.5678e-05,2.5678e-05
143,2164.84,0.45227,0.3985,0.97541,0.93915,0.93586,0.96412,0.78488,0.70873,0.53865,1.00267,2.3236e-05,2.3236e-05,2.3236e-05
144,2179.55,0.43888,0.38328,0.9605,0.96607,0.90972,0.96744,0.78401,0.713,0.5265,0.99948,2.0794e-05,2.0794e-05,2.0794e-05
145,2195.34,0.42092,0.37746,0.95095,0.94036,0.93624,0.96928,0.78199,0.71226,0.52229,0.99944,1.8352e-05,1.8352e-05,1.8352e-05
146,2210.93,0.41929,0.3605,0.94938,0.9569,0.9216,0.96928,0.78419,0.70993,0.51614,0.99184,1.591e-05,1.591e-05,1.591e-05
147,2225.84,0.41334,0.36304,0.94953,0.93219,0.93791,0.96518,0.78174,0.70644,0.52047,0.98963,1.3468e-05,1.3468e-05,1.3468e-05
148,2240.5,0.41726,0.36306,0.94759,0.91997,0.94821,0.96532,0.78147,0.70458,0.51728,0.98794,1.1026e-05,1.1026e-05,1.1026e-05
149,2255.79,0.41,0.35241,0.94726,0.93487,0.93368,0.96683,0.78333,0.70717,0.51546,0.99004,8.584e-06,8.584e-06,8.584e-06
150,2271.54,0.42085,0.35389,0.95432,0.94787,0.93301,0.96755,0.78633,0.70448,0.5131,0.99136,6.142e-06,6.142e-06,6.142e-06
